NASSValue,CropName,Group,APEXMGT,APEXMGTNO,LUNOCV_Straight_Poor,LUNOCV_Straight_Good,LUNOCV_Contoured_Poor,LUNOCV_Contoured_Good,LUNOCV_ContouredTerraced_Poor,LUNOCV_ContouredTerrace_Good,UPN_Conventional_Tillage_No_ Residue,UPN_Conventional_Tillage_ Residue,UPN_Chisel_Plow_No_Residue,UPN_Chisel_Plow_Residue,UPN_Fall_Disking_Residue,UPN_No_Till_No_Residue,UPN_No_Till_With_Residue_0to1ton,UPN_No_Till_With_Residue_2to9ton
0,Background,Nodata,FALLOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Clouds/No Data,Nodata,FALLOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Corn,Staple Crops,CORN,2,2,3,4,5,6,7,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
5,Soybeans,Staple Crops,SOYB,3,2,3,4,5,6,7,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
12,Sweet Corn,Staple Crops,CORN,2,2,3,4,5,6,7,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
13,Pop or Orn Corn,Staple Crops,CORN,2,2,3,4,5,6,7,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
22,Durum Wheat,Staple Crops,WHEAT,4,2,3,4,5,6,7,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
23,Spring Wheat,Staple Crops,WHEAT,4,2,3,4,5,6,7,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
24,Winter Wheat,Staple Crops,SOYB,3,2,3,4,5,6,7,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
26,Dbl Crop WinWht/Soybeans,Staple Crops,SOYB,3,2,3,4,5,6,7,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
61,Fallow/Idle Cropland,"Fallow, No residue",FALLOW,1,1,1,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
65,Barren,"Fallow, No residue",FALLOW,1,1,1,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
131,Barren,"Fallow, No residue",FALLOW,1,1,1,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
63,Forest,"Trees, Forest",FOREST,5,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
64,Shrubland,"Trees, Forest",SHRUB,6,27,28,29,0,0,0,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
66,Cherries,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
67,Peaches,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
68,Apples,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
69,Grapes,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
70,Christmas Trees,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
71,Other Tree Crops,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
72,Citrus,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
74,Pecans,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
75,Almonds,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
76,Walnuts,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
77,Pears,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
141,Deciduous Forest,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
142,Evergreen Forest,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
143,Mixed Forest,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
152,Shrubland,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
141,Deciduous Forest,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
142,Evergreen Forest,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
143,Mixed Forest,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
152,Shrubland,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
83,Water,Water surface,WATER,8,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
87,Wetlands,Water surface,WATER,8,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
88,Nonag/Undefined,Water surface,FALLOW,1,1,1,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
92,Aquaculture,Water surface,WATER,8,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
111,Open Water,Water surface,WATER,8,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
112,Perennial Ice/Snow,Water surface,WATER,8,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
190,Woody Wetlands,Water surface,WATER,8,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
195,Herbaceous Wetlands,Water surface,WATER,8,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
82,Developed,Urban,URBAN0,9,35,35,35,35,35,35,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
121,Developed/Open Space,Urban,URBAN1,10,35,35,35,35,35,35,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
122,Developed/Low Intensity,Urban,URBAN2,11,35,35,35,35,35,35,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
123,Developed/Med Intensity,Urban,URBAN3,12,35,35,35,35,35,35,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
124,Developed/High Intensity,Urban,URBAN4,13,35,35,35,35,35,35,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
204,Pistachios,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
205,Triticale,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
206,Carrots,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
207,Asparagus,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
208,Garlic,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
209,Cantaloupes,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
210,Prunes,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
211,Olives,"Trees, Forest",TREES,7,27,28,29,0,0,0,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
212,Oranges,"Trees, Forest",TREES,7,27,28,29,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
213,Honeydew Melons,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
214,Broccoli,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
216,Peppers,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
217,Pomegranates,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
218,Nectarines,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
219,Greens,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
220,Plums,"Trees, Forest",TREES,14,27,28,29,0,0,0,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
221,Strawberries,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
222,Squash,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
223,Apricots,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
224,Vetch,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
225,Dbl Crop WinWht/Corn,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
226,Dbl Crop Oats/Corn,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
227,Lettuce,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
229,Pumpkins,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
230,Dbl Crop Lettuce/Durum Wht,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
231,Dbl Crop Lettuce/Cantaloupe,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
232,Dbl Crop Lettuce/Cotton,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
233,Dbl Crop Lettuce/Barley,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
234,Dbl Crop Durum Wht/Sorghum,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
235,Dbl Crop Barley/Sorghum,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
236,Dbl Crop WinWht/Sorghum,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
237,Dbl Crop Barley/Corn,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
238,Dbl Crop WinWht/Cotton,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
239,Dbl Crop Soybeans/Cotton,"Small grains, vegetables",AGRR,14,8,9,10,11,12,13,0.09,0.19,0.09,0.13,0.4,0.07,0.12,0.3
